id,name,description,weight,equipSlot,stackable,icon,worldModel,category,dice,material,basePrice,guard,rarityTier,catchWeight,sizeDice,trophyCm,minFishingLevel,chestTier,chestChance,consumable,nutrition,grillsInto,weaponSkill,defenseSkill,useSkill,armorConstruction,equipmentKind,equipmentLayer,garmentForm,damageType,maxDurability,repairFamily,repairAmount,slashProtection,pierceProtection,bluntProtection,bodyCoverage
ring_of_protection,Ring of Protection,A silver ring bearing a cross-emblazoned shield that wards off blows.,0.1,ring,false,cross_shield_ring.png,accessory/cross_shield_ring.glb,accessory,,metal,20000,1,,,,,,5,0.2,,,,,,,,accessory,accessory,,,,,,,,,
gold_ring,Gold Ring,A plain gold ring.,0.1,ring,false,sword.png,,accessory,,metal,12000,,,,,,,,,,,,,,,,accessory,accessory,,,,,,,,,
silver_necklace,Silver Necklace,A delicate silver chain.,0.3,neck,false,sword.png,,accessory,,metal,8000,,,,,,,,,,,,,,,,accessory,accessory,,,,,,,,,
leather_belt,Leather Belt,A wide leather belt.,1,belt,false,ornate_cross_belt.png,accessory/ornate_cross_belt.glb,accessory,,leather,800,,,,,,,1,0.3,,,,,,,,accessory,accessory,,,,,,,,,
dagger,Dagger,A small but sharp dagger.,1,main_hand,false,dagger.png,weapons/dagger.glb,weapon,1d4,metal,2500,,,,,,,,,,,,dagger,,,,weapon,held,,slash,,,,,,,
goblin_sword,Goblin Sword,A crude short blade favored by goblins and orcs.,2,main_hand,false,goblin_sword.png,weapons/goblin_sword.glb,weapon,1d4,metal,2000,,,,,,,,,,,,one_handed_sword,,,,weapon,held,,slash,,,,,,,
small_sword,Small Sword,A compact crude blade sized for small fighters.,1.5,main_hand,false,small_sword.png,weapons/small_sword.glb,weapon,1d4,metal,1500,,,,,,,,,,,,one_handed_sword,,,,weapon,held,,slash,,,,,,,
chain_mail,Chain Mail,Interlocking metal rings forming armor.,30,chest,false,chain_mail.png,armor/chain_mail.glb,armor,,metal,25000,5,,,,,,3,,,,,,mail_armor,,mail,body_armor,primary,hauberk,,90,metal,,2,1,0,torso;arms;legs
torch,Torch,A flickering wooden torch.,1,off_hand,false,torch.png,weapons/torch.glb,weapon,1d4,wood,50,,,,,,,,,,,,,,,,weapon,held,,blunt,,,,,,,
worn_torch,Worn Torch,A stubby half-burnt torch. Merchants won't pay for it.,1,off_hand,false,torch.png,weapons/torch.glb,weapon,1d4,wood,,,,,,,,,,,,,,,,,weapon,held,,blunt,,,,,,,
spear,Spear,A long wooden-shafted spear tipped with iron.,4,main_hand,false,spear_icon.png,weapons/spear.glb,weapon,1d6,metal,3500,,,,,,,,,,,,spear,,,,weapon,held,,pierce,,,,,,,
coin_pile,Coin Pile,A small heap of loose copper coins.,0,,false,sword.png,objects/coin_pile_spill.glb,currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healing_potion,Healing Potion,A crimson brew that knits wounds and restores vitality.,0.5,,true,healing_potion.png,objects/health_potion.glb,healing_potion,6d4,,600,,,,,,,,,true,,,,,,,,,,,,,,,,,
bandage,Bandage,Clean linen for treating wounds with the Healing skill.,0.1,,true,bandage.svg,,bandage,2d4,cloth,50,,,,,,,,,true,,,,,healing,,,,,,,,,,,,
scroll_of_return,Scroll of Return,Reading the arcane runes whisks you back to town in a flash of light.,0.2,,true,scroll_of_return.png,objects/scroll.glb,return_scroll,,,800,,,,,,,,,true,,,,,,,,,,,,,,,,,
scroll_of_enchant_weapon,Scroll of Enchant Weapon,Arcane runes that hone your wielded weapon's edge — though greedy re-reading may destroy it.,0.2,,true,scroll_of_enchant_weapon.png,objects/scroll_enchant.glb,enchant_scroll,,,1200,,,,,,,,,true,,,,,,,,,,,,,,,,,
scroll_of_party_summon,Scroll of Party Summon,Reading the runes calls your whole party to your side — each may answer or ignore the summons.,0.2,,true,scroll_of_party_summon.png,objects/scroll.glb,party_summon_scroll,,,1000,,,,,,,,,true,,,,,,,,,,,,,,,,,
table,Table,A sturdy wooden table.,20,,false,table_icon.png,objects/table.glb,furniture,,wood,3000,,,,,,,,,,,,,,,,,,,,,,,,,,
leather_armor,Leather Armor,Supple leather chest armor crossed with straps and buckles.,8,chest,false,leather_armor.png,armor/leather_armor.glb,armor,,leather,6000,2,,,,,,2,,,,,,leather_armor,,leather,body_armor,primary,cuirass,,60,leather,,1,1,1,torso
traveler_robe,Traveler's Robe,A plain wool robe for travel and ceremony.,3,chest,false,traveler_robe.svg,,clothing,,cloth,1200,,,,,,,,,,,,,,,,clothing,primary,robe,,,,,,,,torso;arms;legs
padded_battle_robe,Padded Battle Robe,A quilted combat robe that cushions blows without relying on leather or metal.,6,chest,false,padded_battle_robe.svg,,armor,,cloth,4500,,,,,,,,,,,,,padded_armor,,padded,body_armor,primary,robe,,40,cloth,,1,0,2,torso;arms;legs
brigandine_coat,Brigandine Coat,A reinforced coat lined with overlapping metal plates beneath sturdy cloth.,14,chest,false,brigandine_coat.svg,,armor,,mixed,18000,2,,,,,,,,,,,,hybrid_armor,,hybrid,body_armor,primary,coat,,100,hybrid,,2,2,2,torso;arms
fishing_rod,Fishing Rod,A supple wooden rod with a horsehair line. Cast at water to fish.,2,main_hand,false,fishing_rod.png,weapons/fishing_rod.glb,fishing_rod,,wood,300,,,,,,,,,,,,,,,,tool,held,,,,,,,,,
raw_minnow,Raw Minnow,A tiny silver fish. Barely a mouthful.,0.2,,false,raw_minnow.png,,fish,1d3,,10,,1,50,3d4,12,,,,true,40,grilled_minnow,,,,,,,,,,,,,,,
raw_perch,Raw Perch,A striped river perch. Decent eating.,0.5,,false,raw_perch.png,,fish,1d6,,25,,2,30,4d6,22,,,,true,40,grilled_perch,,,,,,,,,,,,,,,
raw_trout,Raw Trout,A speckled trout. Anglers respect it.,1,,false,raw_trout.png,,fish,2d4,,60,,3,14,6d8,42,,,,true,40,grilled_trout,,,,,,,,,,,,,,,
river_salmon,River Salmon,A powerful silver salmon. A proud catch.,2,,false,river_salmon.png,,fish,2d6,,200,,4,5,8d10,70,10,,,true,40,grilled_salmon,,,,,,,,,,,,,,,
golden_sturgeon,Golden Sturgeon,An armoured river giant older than the kingdom. Its bony scutes shine like beaten gold.,4,,false,golden_sturgeon.png,,fish,4d6,,1500,,5,1,20d10,150,20,,,true,40,grilled_sturgeon,,,,,,,,,,,,,,,
old_boot,Old Boot,A waterlogged leather boot. Someone had a worse day than you.,1,,false,old_boot.png,,junk,,leather,,,0,6,9d3,,,,,,,,,,,,,,,,,,,,,,
clump_of_kelp,Clump of Kelp,A slimy tangle of seaweed dredged from the bottom.,0.5,,false,clump_of_kelp.png,,junk,,,,,0,5,6d6,,,,,,,,,,,,,,,,,,,,,,
message_in_a_bottle,Message in a Bottle,A sealed bottle with a scrap of paper inside. A collector might pay a little.,0.3,,false,message_in_a_bottle.png,,junk,,,15,,0,2,7d3,,,,,,,,,,,,,,,,,,,,,,
sunken_coin_pouch,Sunken Coin Pouch,A drowned purse still holding a few coins.,0.2,,false,sunken_coin_pouch.png,,coin_catch,3d8,,,,0,4,6d3,,,,,true,,,,,,,,,,,,,,,,,
apple,Apple,A crisp red apple.,0.3,,true,apple.png,objects/apple.glb,food,,,3,,,,,,,,,true,60,,,,,,,,,,,,,,,,
bread,Bread,A fresh-baked loaf.,1,,true,bread.png,objects/bread.glb,food,,,20,,,,,,,,,true,540,,,,,,,,,,,,,,,,
cheese,Cheese,A wedge of hard cheese. Keeps well on the road.,0.4,,true,cheese_wedge.png,objects/cheese_wedge.glb,food,,,12,,,,,,,,,true,180,,,,,,,,,,,,,,,,
jerky,Jerky,Salted dried meat. Dense and easy to carry.,0.25,,true,jerky.png,objects/jerky.glb,food,,,30,,,,,,,,,true,300,,,,,,,,,,,,,,,,
grilled_minnow,Grilled Minnow,A tiny fish crisped whole over a campfire.,0.2,,true,grilled_minnow.png,,food,,,10,,,,,,,,,true,90,,,,,,,,,,,,,,,,
grilled_perch,Grilled Perch,A striped perch grilled to flaking.,0.5,,true,grilled_perch.png,,food,,,25,,,,,,,,,true,180,,,,,,,,,,,,,,,,
grilled_trout,Grilled Trout,A speckled trout smoky from the fire.,1,,true,grilled_trout.png,,food,,,60,,,,,,,,,true,300,,,,,,,,,,,,,,,,
grilled_salmon,Grilled Salmon,A salmon fillet seared over open flame.,2,,true,grilled_salmon.png,,food,,,200,,,,,,,,,true,480,,,,,,,,,,,,,,,,
grilled_sturgeon,Grilled Sturgeon,A royal cut of sturgeon roasted on embers.,4,,true,grilled_sturgeon.png,,food,,,1500,,,,,,,,,true,900,,,,,,,,,,,,,,,,
campfire_kit,Campfire Kit,Firewood and tinder bundled for the road. Burns for ten minutes.,2,,true,campfire_kit.png,objects/campfire_kit.glb,campfire_kit,,,30,,,,,,,,,true,,,,,,,,,,,,,,,,,
cloth_repair_kit,Cloth Repair Kit,Needles thread and layered patches for padded armor.,0.5,,true,repair_kit.svg,,armor_repair_kit,,cloth,400,,,,,,,,,true,,,,,,,,,,,,cloth,20,,,,
leather_repair_kit,Leather Repair Kit,Waxed thread leather patches and punches for leather armor.,1,,true,repair_kit.svg,,armor_repair_kit,,leather,700,,,,,,,,,true,,,,,,,,,,,,leather,30,,,,
metal_repair_kit,Metal Repair Kit,Rivets wire and compact tools for mail and plate armor.,2,,true,repair_kit.svg,,armor_repair_kit,,metal,1200,,,,,,,,,true,,,,,,,,,,,,metal,45,,,,
hybrid_repair_kit,Hybrid Repair Kit,Mixed textile and metal supplies for reinforced hybrid armor.,2,,true,repair_kit.svg,,armor_repair_kit,,mixed,1500,,,,,,,,,true,,,,,,,,,,,,hybrid,50,,,,
